CPU: 0.10700736771579702  Memory: 0.080870464 
CPU: 0.10700736771579702  Memory: 0.08094237 
CPU: 0.10700736771579702  Memory: 0.080990314 
CPU: 0.10700736771579702  Memory: 0.08101428 
CPU: 0.10700736771579702  Memory: 0.08101428 
CPU: 0.10700363404201081  Memory: 0.08101428 
CPU: 0.10700363404201081  Memory: 0.08101428 
CPU: 0.10700363404201081  Memory: 0.08106222 
CPU: 0.10700363404201081  Memory: 0.08111016 
CPU: 0.10700363404201081  Memory: 0.081134126 
CPU: 0.10700363404201081  Memory: 0.081158094 
CPU: 0.10700363404201081  Memory: 0.08118206 
CPU: 0.10700363404201081  Memory: 0.08118206 
CPU: 0.10700363404201081  Memory: 0.08123 
CPU: 0.10700363404201081  Memory: 0.08125397 
CPU: 0.10700363404201081  Memory: 0.08125397 
CPU: 0.10700363404201081  Memory: 0.08125397 
CPU: 0.10700363404201081  Memory: 0.081325874 
CPU: 0.10700363404201081  Memory: 0.08137381 
CPU: 0.10700363404201081  Memory: 0.08137381 
CPU: 0.10700363404201081  Memory: 0.08144572 
CPU: 0.10700363404201081  Memory: 0.081469685 
CPU: 0.10700363404201081  Memory: 0.08149365 
CPU: 0.10700363404201081  Memory: 0.08149365 
CPU: 0.10700363404201081  Memory: 0.08156556 
CPU: 0.10700363404201081  Memory: 0.08156556 
CPU: 0.10700363404201081  Memory: 0.08156556 
CPU: 0.10700363404201081  Memory: 0.08158953 
CPU: 0.10700363404201081  Memory: 0.081637464 
CPU: 0.10700363404201081  Memory: 0.08166143 
CPU: 0.10700363404201081  Memory: 0.08166143 
CPU: 0.10700363404201081  Memory: 0.0816854 
CPU: 0.10700363404201081  Memory: 0.08175731 
CPU: 0.10700363404201081  Memory: 0.081781276 
CPU: 0.10700363404201081  Memory: 0.081781276 
CPU: 0.10700363404201081  Memory: 0.081781276 
CPU: 0.10700363404201081  Memory: 0.08185319 
CPU: 0.10700363404201081  Memory: 0.08187716 
CPU: 0.10700363404201081  Memory: 0.08187716 
CPU: 0.10700363404201081  Memory: 0.08187716 
CPU: 0.10700363404201081  Memory: 0.081925094 
